Cartoon Id,Cartoon Name,Year,Running Time,Genre Id,Rating Id,Language Id,Broadcast Id,Writer Id,Studio Id,Plot
8001,American Dad!,2005,23,1005,2005,3021,4042,5010,7001,"The random escapades of Stan Smith, a conservative C.I.A. Agent dealing with family life, and keeping America safe, all in the most absurd way possible."
8002,Barney Bear,1939,8,1007,2003,3021,4002,5003,7004,"The title character is anĀanthropomorphicĀcartoon character, a sluggish, sleepyĀbearĀwho often is in pursuit of nothing but peace and quiet."
8003,2 Stupid Dogs,1993,7,1007,2003,3021,4058,5012,7002,"The show is about two unnamed dogsŚneither of whom, as the title explains, are very intelligentŚand their everyday misadventures. The animation style is unusual for the time: a very flat and simplistic style similar to the early Hanna-Barbera cartoons of the 1950s and 1960s, but with early 1990s humor and sensibility. Big Dog tends to talk much less than Little Dog. When Big Dog talks, he usually talks about food."
8004,Popeye the Sailor,1960,5,1003,2002,3021,4001,5002,7003,First Release of Sailor Man Popeyee-s adventure
8005,Nikos New Adventures,2019,30,1019,2003,3025,4042,5006,7018,A children comedy series about a young flying reindeer boy Niko and his colourful set of friends in snowy Lappish wilderness. New exciting adventures await as well as the challenges of daily life.
8006,Little Dracula,1991,30,1008,2002,3021,4042,5005,7001,"Little Dracula is a green-skinned, child vampire who aspires to be like his father, Big Dracula, yet also enjoys rock -n roll and surfing."
8007,Motu Patlu,2012,10,1003,2001,3037,4008,5011,7013,"The story revolves around Motu and Patlu, two friends living in Furfuri Nagar."
8008,Doraemon,1973,11,1005,2001,3045,4061,5019,7165,"Doraemon, a cat robot from the 22nd century, is sent by Sewashi Nobi to helpĀNobita Nobi, a young boy who scores poor grades and is frequently bullied by his two classmates, Gian and Suneo so that his descendants can improve their lives"
8009,Tom And Jerry  1940,1940,8,1007,2003,3021,4003,5001,7004,"MGM-s signature cartoon series, Tom and Jerry brought the studio six Academy Awards. Directed by the duo of William Hanna and Joe Barbera, the pair later went on to open their own studio in the late 1950-s when MGM closed their animation department."
8010,Baby Looney Tunes,2002,30,1003,2001,3021,4003,5021,7005,Baby Looney TunesĀis a Canadian/AmericanĀanimated television seriesĀdepicting toddler and preschool versions ofĀLooney TunesĀcharacters.
8011,Spike And Tyke,1957,6,1007,2003,3021,4003,5004,7004,"In season 1 The city is rounding up all unlicensed dogs. Spike has a license. So does Tyke. An unlicensed stray steals Tyke-s license; Tyke gets collared and the chase is on. in season 2 Spike-s owner is going out of town and leaves Spike and Tyke in charge. An alley cat overhears the orders, and as soon as the owner leaves, he gets on the horn and invites every alley cat in town. They come in swinging on a rope like Tarzan. While their owners are away, Spike and Tyke try to keep three invasion-minded felines from geting in the house for a party."
8012,Crayon Shin-Chan,1992,15,1003,2005,3045,4061,5020,7165,"It follows the adventures of the five-year-old Shinnosuke Shin Nohara and his parents, baby sister, dog, neighbours, and friends and is set inĀKasukabe,Saitama PrefectureĀof Japan."
8013,Perman,1967,11,1003,2005,3045,4058,5019,7165,"The story follows a boy named Mitsuo Suwa who meets an alien named Superman, later renamed Birdman. The alien is part of a group that maintains peace in the galaxy and recruits Mitsuo to become a Perman."
8014,George and Junior,1946,8,1007,2003,3021,4003,5013,7004,"Inspired by George and Lenny from Steinbeck-s Of Mice and Men, Junior was a fat, stupid bear to George-s in-control, straight-man bear. All the cartoons from this short-lived animation series were directed by creator Fred ""Tex"" Avery. Contrary to rumors to the contrary (often credited to Tex Avery himself), Tex Avery did not voice Junior in this cartoon."
8015,Ninja Hatoori,1964,11,1005,2001,3045,4061,5009,7165,"11-year-old Kenichi Mitsuba is an average kid who goes to secondary school and struggles with his studies, he is very stubborn and is very lazy and therefore always ends up frustrating his parents and teacher. He loves to find an easy way of things much to the annoyance of Hattori."
8016,Shiva,2015,11,1007,2003,3021,4060,5011,7013,Shiva is a young boy who lives with his grandparents in aĀfictional cityĀnamed Vedas inĀIndia. He is a child superhero with supernatural powers. He faces a lot of villains who try to harm or damage people and property of his city. He beats villains. A policeman named Mr. Laddo Singh who wanted to catch the criminals but gets in trouble is helped by Shiva. Shiva and his friends are always rewarded by theĀIndian GovernmentĀfor their utmost bravery.
8017,Droopy,1943,8,1007,2003,3021,4003,5013,7004,"Another of Tex Avery-s creations, Droopy was a lethargic dog who always comes out on top... despite his apparent lack of effort."
8018,Rudra,2018,11,1019,2002,3037,4008,5017,7011,"The story is about a 9-year-old magician named Rudra, who lives in the magical city of Sun City with his grandfather Jai Singh Chauhan. The series revolves around Rudra learning new magic every day from his grandfather and using the magic to defeat the evil magician Shakaal and his minions who are always stirring up trouble in town to stop Rudra from harnessing his true powers."
8019,Meena,1992,21,1006,2001,3009,4022,5018,7265,"Meena educates the children of South Asia on issues of gender, health, and social inequality through her stories in comic books, animated filmsĀ"
8020,Spike,1949,8,1007,2003,3021,4003,5013,7004,"The story about a dog Spike. Most of the characters of MGM studios animated series (tom and jerry, spike and tyke, bear) also appared in this series"
8021,The Ugly Duckling and Me!,2006,90,1003,2003,3019,4042,5008,7018,"Hans Christian Andersen-s classic fairy tale about an ugly duckling who turns into a beautiful swan is reinvented in this innovative comedy. Ratso, a success-starved rodent impresario, is forced to hide in a duckling village and persuades the villagers that he is the father of a stray ugly duckling. Ratso and the ugly duckling set off on a perilous journey toward their big breakthrough, but dangerous foes, teenage problems and unexpected paternal feelings lie ahead."
8022,Angry Birds,2013,3,1003,2002,3021,4004,5022,7355,Angry Birds Toons is a Finnish animated TV series based on Rovio-s video game franchise of the same name. 
8023,We Bare Bears,2014,11,1003,2002,3021,4003,5016,7005,"The bears attempt to integrate with human society, such as by purchasing food, making human companions or trying to become famous on the Internet, although these attempts see the bears struggle to do so due to the civilized nature of humans and their own animal instincts"
8024,Happy Harmonies,1934,8,1007,2003,3021,4001,5003,7004,"Metro-Goldwyn-Mayer-s first foray into their own animation department was not quite in house. Rather than build an in house animation studio, MGM hired out the already existing Harman-Ising Productions to produce this series for them. The series was planned as an answer to Disney-s Silly Symphonies series, musical animated shorts with no real continuing characters shown before studio feature films. When they left Warner Bros. for MGM, Harman and Ising brought their popular Looney Tunes character Bosko with them. Redesigned to a more human character, Bosko proved to be the only recurring character from the series."
8025,Mr. Bean: The Animated Series,2002,15,1003,2002,3021,4003,5023,7356,A British Comedy Series 
8026,Family Guy,1999,22,1005,2005,3021,4042,5010,7001,"Family Guy is an American sitcom series  centers on the Griffins, a family consisting of parents Peter and Lois, their children, Meg, Chris, and Stewie, and their anthropomorphic pet dog, Brian. The show is set in the fictional city of Quahog"
8027,Phineas and Ferb,2007,15,1003,2003,3021,4006,5024,7010,"The program follows  Phineas Flynn and his stepbrother  Ferb  Fletcher on summer vacation. Every day, the boys embark on some grand new project , these are usually unrealistic given the protagonists ages (and are sometimes downright physically impossible), which annoys their controlling sister, Candace, who frequently tries to reveal their shenanigans to her and Phineas-  mother"
8028,Screwy Squirrel,1944,8,1007,2003,3021,4003,5015,7004,"In the 1940-s race to create the most wacky character of all, Screwball ""Screwy"" Squirrel was easily the unanimous winner. Always crazy, sometimes brash and sometimes annoying and unsympathetic, Screwy abided no rules, real or imagined. The hyperactive squirrel created by Tex Avery for an MGM series that lasted five cartoons."
8029,Masha & Bear,2011,7,1019,2001,3075,4003,5027,7357,A Russian animated television seriesĀ
8030,Ben 10,2005,30,1002,2002,3021,4003,5026,7006,"The story of Ben Tennyson, a typical kid who becomes very atypical after he discovers the Omnitrix, a mysterious alien device with the power to transform the wearer into ten different alien species."
8031,Micky Mouse,1928,8,1007,2003,3021,4006,5025,7010,"Mickey Mouse Sound Cartoons is a series ofĀcartoonsĀproduced byĀWalt Disney Productions. The series started in 1928 withĀSteamboat WillieĀand ended in 1953 withĀThe Simple Things. Four additional shorts were released between 1983 and 2013. The series is notable for its innovation withĀsound synchronizationĀandĀcharacter animation, and also introduced well-known characters such asĀMickey Mouse,ĀMinnie Mouse,ĀPluto, andĀGoofy."
8032,The Powerpuff Girls,1998,30,1002,2002,3021,4003,5028,7002,"Blossom, Bubbles, and Buttercup, threeĀkindergarten-aged girls withĀsuperpowers. The girls all live in the fictional city of Townsville, with a scientist named Professor Utonium, and are frequently called upon by the city-s mayor to help fight nearby criminals and other enemies using their powers."
8033,South Park,1997,22,1018,2006,3021,4019,5029,7013,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado."
8034,The All New Popeye Hour,1978,7,1003,2002,3021,4059,5002,7002,Succeder of Poppye The Sailor
8035,Captain and The Kids,1938,8,1007,2003,3021,4003,5007,7004,"After their first, failed experiment with subcontracting their animation production out Hugh Harmon and Rudlof Ising, MGM brought production in house. The set producer Fred Quimby the task of building the animation department. He brought in Isadore ""Friz"" Freleng from Warner Bros. among others to help direct this series based on a comic strip by Rudolph Dirks. William Hanna also got his start on this series. But the series was not popular, and MGM brought back Harmon and Ising to infuse new blood into the department."
8036,Jungledyret Hugo,2003,30,1019,2003,3019,4057,5014,7018,"Hugo, the world-s most unusual and lovable jungle animal, returns in 13 hilarious, fun and action-packed episodes. We team up with Hugo and his friend Rita, the adorable city fox, on their quest to find a place where they can live in peace. Throughout their adventures, crazy generals, ambitious scientists and greedy paparazzi, all dreaming of world fame, pursue them."
8037,BoJack Horseman,2014,25,1018,2006,3021,4062,5030,7134,An AmericanĀadult animatedĀtragicomedyĀweb televisionĀseries
8038,Spongebob Squarepants,1999,23,1003,2004,3021,4008,5031,7011,ĀThe series chronicles the adventures and endeavors ofĀthe title characterĀand his aquatic friends in the fictional underwater city of Bikini Bottom.
